id,game_id,summary,party_type,status,hold_status,description,created_at,updated_at
cbb9f618-543a-5ff1-a941-7da330b5d236,f9c23768-c1ad-5afd-bb58-2dd25bebc81b,物理队,类型,,,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
cd3afe54-01fc-5609-afd3-662101119351,6d9435a8-984c-53fe-a467-257b1e9e8811,火,弱点,,,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
d332860e-869e-52e7-81ff-c5e803de7e85,2892f75b-aec5-53d7-bf7d-b3d529046539,鸣2,组合,,,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
e2c038e3-8bca-5d63-b41b-9a255ede58d1,d81251ab-312f-58ca-a1d6-7a6c9d35f98e,绝3,组合,,,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
e2cbf75c-ff6a-5a57-8521-1878038d63f8,d81251ab-312f-58ca-a1d6-7a6c9d35f98e,叶瞬光,主C,,,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
e91e781e-043e-5f3c-979a-28f066f2e9e8,6d9435a8-984c-53fe-a467-257b1e9e8811,追击,类型,,,暂时不需要,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
ecd9f083-b4f8-547a-af36-9a888b0bebc9,d81251ab-312f-58ca-a1d6-7a6c9d35f98e,命破-冰,类型,,,伊德海莉音擎用仪玄专音,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
f71ab04b-7f50-5ecd-b258-87d00ae44531,d81251ab-312f-58ca-a1d6-7a6c9d35f98e,雅,主C,,,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
f8e23d51-53a9-5d61-809e-8a0c355ee0ee,2892f75b-aec5-53d7-bf7d-b3d529046539,导电,弱点,,,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
fac01c64-1833-5edf-939d-23e4e4288226,6d9435a8-984c-53fe-a467-257b1e9e8811,雷,弱点,,,,2026-06-19 14:29:13.611862+00,2026-06-19 14:29:13.611862+00
